Codi,Nom,Codi comarca,Nom comarca,UTM X,UTM Y,Longitud,Latitud,Georeferència,LIMADM_MUNICIPI,LIMADM COMARCA
252555,Vinaixa,18,Garrigues,330805.7794,4588296.418,0.975099399,41.42842162,POINT (0.975099399 41.42842162),529,27
430859,"Molar, el",29,Priorat,307555.5247,4559471.55,0.706156478,41.16375075,POINT (0.706156478 41.16375075),411,35
171621,Sant Ferriol,19,Garrotxa,476414.6358,4671415.442,2.71434161,42.19453826,POINT (2.71434161 42.19453826),372,10
170643,Espolla,02,Alt Empordà,500056.8067,4693220.297,3.000690169,42.39127293,POINT (3.000690169 42.39127293),346,6
171267,Parlavà,10,Baix Empordà,502630.6277,4652424.069,3.031775971,42.0238438,POINT (3.031775971 42.0238438),42,16
082009,Sant Boi de Llobregat,11,Baix Llobregat,419913.8378,4577778.726,2.042704219,41.34752428,POINT (2.042704219 41.34752428),496,31
251673,Pinós,35,Solsonès,378924.183,4631637.12,1.541994622,41.82737047,POINT (1.541994622 41.82737047),587,12
252094,Sort,26,Pallars Sobirà,346236.3597,4697305.032,1.131249289,42.4128257,POINT (1.131249289 42.4128257),334,2
083073,Vilanova i la Geltrú,17,Garraf,393232.3263,4564418.219,1.726180234,41.22411114,POINT (1.726180234 41.22411114),412,34
430206,Banyeres del Penedès,12,Baix Penedès,381146.9226,4570741.333,1.580800344,41.27936622,POINT (1.580800344 41.27936622),540,33
080556,Castellcir,42,Moianès,429250.1995,4623561.726,2.148900039,41.76073745,POINT (2.148900039 41.76073745),821,22
082613,Santa Susanna,21,Maresme,475602.1635,4609349.352,2.707068724,41.63550377,POINT (2.707068724 41.63550377),740,25
082750,Tavèrnoles,24,Osona,444181.3832,4644682.645,2.326511576,41.9521483,POINT (2.326511576 41.9521483),34,13
170911,Llanars,31,Ripollès,445956.6966,4685620.695,2.344137229,42.32095448,POINT (2.344137229 42.32095448),408,7
430430,"Catllar, el",36,Tarragonès,359596.9565,4559587.54,1.326137929,41.17547808,POINT (1.326137929 41.17547808),430,37
170865,"Jonquera, la",02,Alt Empordà,489564.0188,4696074.031,2.87315709,42.41690358,POINT (2.87315709 42.41690358),344,6
251641,Penelles,23,Noguera,330874.6837,4624904.864,0.965598414,41.75797244,POINT (0.965598414 41.75797244),843,15
250485,Bell-lloc d'Urgell,27,Pla d'Urgell,315037.0216,4611080.95,0.779505499,41.63002203,POINT (0.779505499 41.63002203),784,23
082299,Sant Mateu de Bages,07,Bages,394705.1795,4627986.995,1.732630684,41.79675681,POINT (1.732630684 41.79675681),656,18
082747,Súria,07,Bages,396500.3883,4631815.336,1.753565253,41.83146668,POINT (1.753565253 41.83146668),676,18
170806,Gombrèn,31,Ripollès,425006.6038,4677695.905,2.090942855,42.24785517,POINT (2.090942855 42.24785517),194,7
172253,Vilamacolum,02,Alt Empordà,504702.6813,4671604.228,3.056959228,42.19658005,POINT (3.056959228 42.19658005),280,6
082994,Vilada,14,Berguedà,411718.795,4665524.799,1.931742789,42.13686727,POINT (1.931742789 42.13686727),319,8
082476,Santa Eulàlia de Riuprimer,24,Osona,432708.3315,4640200.788,2.188605638,41.91088985,POINT (2.188605638 41.91088985),578,13
252249,"Torms, els",18,Garrigues,309307.8639,4585054.449,0.719020561,41.39442803,POINT (0.719020561 41.39442803),833,27
252043,Seròs,33,Segrià,283788.7721,4593488.472,0.411037646,41.4638672,POINT (0.411037646 41.4638672),566,21
170715,Fontcoberta,28,Pla de l'Estany,482607.4016,4665660.525,2.789517726,42.14286976,POINT (2.789517726 42.14286976),40,11
170617,Das,15,Cerdanya,406956.6423,4690545.999,1.870114118,42.3616204,POINT (1.870114118 42.3616204),381,4
259010,Vall de Cardós,26,Pallars Sobirà,354517.8014,4713879.117,1.227640857,42.56361512,POINT (1.227640857 42.56361512),318,2
170828,Guils de Cerdanya,15,Cerdanya,407832.7476,4700170.007,1.879209626,42.44838226,POINT (1.879209626 42.44838226),342,4
